response_id,control_doc_id,test_doc_id,stance,chose_control,confidence,time_spent_seconds,expanded_control,expanded_test,tercile
1197,P45_AGAINST,P26_AGAINST,AGAINST,False,,47.4,False,True,early
1198,P43_FOR,P30_FOR,FOR,False,,58.3,False,False,middle
1199,P43_FOR,P22_FOR,FOR,False,,23.9,False,False,early
1200,P29_FOR,P32_FOR,FOR,False,,21.3,False,False,middle
1201,P27_AGAINST,P24_AGAINST,AGAINST,True,,27.1,False,False,late
1202,P19_FOR,P34_FOR,FOR,False,,288.3,True,True,early
1203,P43_FOR,P42_FOR,FOR,False,5,14.3,False,False,middle
1204,P17_FOR,P40_FOR,FOR,False,,26.5,False,False,early
1205,P19_FOR,P16_FOR,FOR,True,,22.2,False,False,early
1206,P43_AGAINST,P42_AGAINST,AGAINST,False,,12.9,False,False,early
1207,P29_FOR,P44_FOR,FOR,False,,22.9,False,False,middle
1208,P27_FOR,P48_FOR,FOR,True,,30.2,False,False,middle
1209,P17_AGAINST,P26_AGAINST,AGAINST,True,,10.6,False,False,middle
1210,P25_AGAINST,P30_AGAINST,AGAINST,False,,24.9,False,False,late
1211,P45_AGAINST,P16_AGAINST,AGAINST,True,3,13.9,False,False,early
1212,P43_AGAINST,P26_AGAINST,AGAINST,False,,55.2,False,False,middle
1213,P29_AGAINST,P18_AGAINST,AGAINST,True,3,131.9,True,False,late
1214,P33_FOR,P44_FOR,FOR,False,,70.6,True,True,early
1215,P29_FOR,P26_FOR,FOR,False,,24.2,False,False,middle
1216,P27_FOR,P16_FOR,FOR,True,,43.7,False,False,early
1217,P19_FOR,P18_FOR,FOR,True,3,59.0,False,False,early
1218,P19_AGAINST,P32_AGAINST,AGAINST,False,3,40.6,False,False,early
1219,P39_FOR,P44_FOR,FOR,True,4,29.7,False,False,early
1220,P17_FOR,P26_FOR,FOR,False,4,10.4,False,False,early
1221,P17_AGAINST,P40_AGAINST,AGAINST,False,4,32.0,False,False,early
1222,P45_FOR,P30_FOR,FOR,False,4,21.6,False,False,middle
1223,P29_AGAINST,P16_AGAINST,AGAINST,True,4,24.2,False,False,middle
1224,P39_AGAINST,P34_AGAINST,AGAINST,False,4,21.2,False,False,middle
1225,P25_FOR,P22_FOR,FOR,False,,15.0,False,False,middle
1226,P25_AGAINST,P44_AGAINST,AGAINST,True,3,19.7,False,False,middle
1227,P43_AGAINST,P26_AGAINST,AGAINST,False,,21.7,False,False,middle
1228,P29_FOR,P40_FOR,FOR,False,4,21.3,False,False,late
1229,P33_AGAINST,P30_AGAINST,AGAINST,True,3,18.6,False,False,late
1230,P33_FOR,P48_FOR,FOR,False,3,20.6,False,False,late
1231,P45_AGAINST,P24_AGAINST,AGAINST,True,,15.7,False,False,late
1232,P27_AGAINST,P42_AGAINST,AGAINST,True,4,22.1,False,False,late
1233,P43_FOR,P34_FOR,FOR,False,4,17.0,False,False,late
1234,P39_FOR,P42_FOR,FOR,False,5,32.2,False,False,early
1235,P43_AGAINST,P18_AGAINST,AGAINST,True,,23.3,False,False,middle
1236,P29_AGAINST,P32_AGAINST,AGAINST,False,,24.9,False,False,late
1237,P25_AGAINST,P26_AGAINST,AGAINST,False,,33.0,False,False,early
1238,P43_AGAINST,P42_AGAINST,AGAINST,True,4,21.3,False,False,middle
1239,P43_AGAINST,P22_AGAINST,AGAINST,True,,143.0,True,True,early
1240,P39_AGAINST,P34_AGAINST,AGAINST,True,3,17.1,False,False,middle
1241,P17_FOR,P40_FOR,FOR,False,,13.3,False,False,early
1242,P19_AGAINST,P42_AGAINST,AGAINST,True,,14.4,False,False,early
1243,P29_AGAINST,P24_AGAINST,AGAINST,False,,52.2,True,False,early
1244,P33_FOR,P22_FOR,FOR,True,,26.9,False,False,early
1245,P29_FOR,P48_FOR,FOR,False,,21.0,False,False,early
1246,P27_AGAINST,P34_AGAINST,AGAINST,False,,18.3,False,False,early
1247,P43_FOR,P24_FOR,FOR,False,,44.7,False,False,middle
1248,P39_AGAINST,P44_AGAINST,AGAINST,True,,29.9,False,False,middle
1249,P17_AGAINST,P16_AGAINST,AGAINST,False,,69.8,False,False,middle
1250,P39_FOR,P34_FOR,FOR,False,,22.5,False,False,middle
1251,P33_AGAINST,P26_AGAINST,AGAINST,False,,33.7,False,False,middle
1252,P45_FOR,P26_FOR,FOR,True,,12.8,False,False,middle
1253,P19_FOR,P16_FOR,FOR,False,,29.1,False,False,late
1254,P27_FOR,P18_FOR,FOR,True,,14.8,False,False,late
1255,P25_FOR,P42_FOR,FOR,True,,11.7,False,False,late
1256,P25_AGAINST,P22_AGAINST,AGAINST,False,,13.6,False,False,late
1257,P45_AGAINST,P32_AGAINST,AGAINST,False,,11.4,False,False,late
1258,P43_AGAINST,P18_AGAINST,AGAINST,False,,32.0,False,False,late
1259,P43_FOR,P26_FOR,FOR,False,,16.6,False,False,early
1260,P45_AGAINST,P24_AGAINST,AGAINST,False,5,19.0,False,False,early
1261,P25_FOR,P16_FOR,FOR,True,4,17.9,False,False,early
1262,P19_AGAINST,P16_AGAINST,AGAINST,False,4,15.8,False,False,middle
1263,P29_AGAINST,P18_AGAINST,AGAINST,True,1,38.4,False,False,middle
1264,P39_AGAINST,P34_AGAINST,AGAINST,True,,12.1,False,False,middle
1265,P43_AGAINST,P30_AGAINST,AGAINST,False,5,14.6,False,False,late
1266,P29_FOR,P40_FOR,FOR,True,4,39.6,False,False,early
1267,P39_AGAINST,P32_AGAINST,AGAINST,True,,110.3,True,True,middle
1268,P43_FOR,P42_FOR,FOR,True,4,52.7,False,False,late
1269,P33_FOR,P34_FOR,FOR,False,,84.1,False,False,early
1270,P27_AGAINST,P18_AGAINST,AGAINST,True,,31.6,False,False,middle
1271,P33_FOR,P40_FOR,FOR,False,,2.0,False,False,early
1272,P19_AGAINST,P40_AGAINST,AGAINST,True,,18.2,False,False,early
1273,P43_FOR,P42_FOR,FOR,True,,13.6,False,False,middle
1274,P19_FOR,P16_FOR,FOR,True,2,126.1,True,True,early
1275,P17_AGAINST,P16_AGAINST,AGAINST,True,3,85.1,True,True,early
1276,P39_AGAINST,P42_AGAINST,AGAINST,True,4,61.9,True,True,middle
1277,P25_AGAINST,P18_AGAINST,AGAINST,False,4,61.1,True,True,middle
1278,P17_AGAINST,P26_AGAINST,AGAINST,False,,45.6,False,True,early
1279,P43_FOR,P24_FOR,FOR,False,,26.5,False,False,early
1280,P33_FOR,P26_FOR,FOR,False,3,20.7,False,False,early
1281,P27_AGAINST,P44_AGAINST,AGAINST,True,4,12.1,False,False,early
1282,P39_FOR,P44_FOR,FOR,True,4,48.4,False,False,early
1283,P39_AGAINST,P30_AGAINST,AGAINST,True,,40.0,False,False,early
